1	2	3	4	5	6	7
MIR1302-2HG	0	0	0	0	0	0.00038514048398025	0
OR4F5	0	0.000624516648528025	0	0	0	0.00156269272451154	0
AL627309.1	0	0.000412626202418986	0.00205519618958581	0	0.00344254083548812	0.00438696941142646	0.000554482522889183
AL627309.3	0	0	0	0	0	0	0.00108179388401741
AL627309.5	0.186403497992824	0.0386100689792536	0.0392677548206501	0.0627176747632912	0.0242913967076722	0.0372239658771138	0.0251907551714108
AL627309.4	0	0	0	0	0	0.00062151085816072	0
AP006222.2	0	0.00095084427866771	0.0025269993296082	0	0	0.000985468364427257	0
AC114498.1	0	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0	0
LINC01409	0.176652537144497	0.0573192845509693	0.0643572575899391	0.0907658980664563	0.0600901911519958	0.0604840497557916	0.0582206401231481
FAM87B	0	0.0012944354325131	0.0014506596298582	0	0	0	0
LINC01128	0.14749705665596	0.188108630406461	0.193334857392712	0.168088638144547	0.111655281823631	0.131046615695509	0.0909640679268255
LINC00115	0.064457616601876	0.0185195919712055	0.0271079682144204	0.0283338667177853	0.01917731857871	0.0225162414492334	0.0158755077428706
FAM41C	0.0196017064444999	0.00271473078468036	0.00789246324633467	0.00178591280531342	0.00405083634910422	0.00848393014754758	0.0104050530338782
AL645608.6	0	0	0	0	0	0	0.00165425462289035
AL645608.2	0.235871183520394	0.0177387801643264	0.0107512283364166	0.0111131803943516	0.0060386473916317	0.0130315403662207	0.00673717782512988
AL645608.4	0	0.00163500453368785	0.00184737966708185	0.0022645542325417	0.0068657210223232	0.00758494397904054	0
LINC02593	0	0.00465189962765407	0	0	0	0.00154230886135903	0
SAMD11	0.0333281977895592	0.0738128487477674	0.0116610630247219	0.0154749288037116	0.010626430009917	0.0372912863885438	0.0215874304406597
NOC2L	0.837146800483113	0.487477919791359	0.445653071718632	0.404546393514099	0.39348385005662	0.392165663673716	0.364143714080373
KLHL17	0.449824516033499	0.0979519991501923	0.0698798839862582	0.0556239545169744	0.0514640157592611	0.0308587359780816	0.0441722929181139
PLEKHN1	0	0.00236853312213569	0.000782891911033318	0	0	0.00339174380121823	0
PERM1	0	0	0	0	0	0.000603331518311462	0
AL645608.7	0.329289880203801	0.0418900257868433	0.0328057091109296	0.173009293467296	0.127074445287771	0.184104474329628	0.123178258481513
HES4	0.973004135649175	0.949440759562833	0.928955454734024	2.27667656527191	1.72917484914894	1.99594898544871	1.86316731521052
ISG15	0.0359805395398266	0.0541467431330944	0.0997758413859015	0.22469755575832	0.158581781293244	0.219423395775684	0.0901836533344538
AGRN	0.758750671174617	0.297897228553802	0.325871063090677	0.492275120493454	0.227053512779392	0.377486752198441	0.306478512659315
RNF223	0	0.00136783044524784	0	0	0	0	0
C1orf159	0.207534534712416	0.0956100011871439	0.0973281588452234	0.0977098559490037	0.0664810256031302	0.08512308468364	0.110902390194125
