1	2	3	4	5	6	7
AL627309.1	0.0325960900161787	0.00499121733476336	0.0053667421912367	0.00225233074830901	0.00187297029762001	0.00229537019083132	0.00935611995553296
AL627309.3	0	0	0	0	0	0	0
AL627309.5	0.23683091747051	0.0631043145358654	0.0384303300595717	0.0360992608379988	0.0222223896325966	0.0483813013308415	0.0331850403662189
AL627309.4	0	0.000325158377754592	0.000152162478657532	0.0011326989073101	0	0.00057829844239321	0
AP006222.2	0	0.000573510528626119	0	0.00021943502766117	0	0	0
AL669831.2	0	0.00056351798547206	0.000310945055119812	0.000178235277311197	0	0.000329468907672189	0.00227396141065146
LINC01409	0.188159656235589	0.202160526450805	0.09755981428573	0.0796936828404089	0.0800235573464658	0.100597340098325	0.0676679059918409
FAM87B	0.023133972064449	0.00309085136807726	0.000987140574171288	0.000672292766289864	0.00141447646612715	0.000587121093326363	0
LINC01128	0.309032877001068	0.232264663068145	0.208601038848239	0.153809899428183	0.0851388596409746	0.134153709271172	0.102181094291834
LINC00115	0.0222718914977786	0.0439959620973451	0.0267482305893797	0.0272339393812843	0.0242904008292049	0.0301198499355789	0.0227512039902966
FAM41C	0	0.00674121500132254	0.00589963961803973	0.00636112878921736	0.00775738298781724	0.0130805043665617	0.00834542604470003
AL645608.6	0	0.000338736626063948	0.00270585402676132	0.00249776581158753	0	0.000529490375248859	0.00164919465168538
AL645608.2	0.322654670566535	0.0361053299930604	0.0861049301260824	0.0681712552977642	0.0121980473847017	0.0186121980007802	0.0106990037252921
AL645608.4	0	0.00131529598945009	0.00333633319220268	0.00666502768076112	0	0.000619685058712605	0.00491109266252126
LINC02593	0	0.0036119234725097	0.00629522995602168	0.00321373220402925	0.0084205123518753	0.00104338728204819	0.000774929580248625
SAMD11	0.0325112947322046	0.0259260579211179	0.0118082964978762	0.00655986494811254	0.14603565752988	0.00731897302948653	0.00368262877261869
NOC2L	0.47526130593983	0.456533022988676	0.391122296946867	0.399269621099192	0.223880085561332	0.336617253115925	0.272539300462247
