Cortical neuron	Astrocyte	Neuroepithelial cell	BMP responsible cell	Unfolded protein responsible cell	Interneuron	Glia progenitor cell	Oligodendrocyte/OPC	Intermediate	Neuron	Cilia-bearing cell	Proteoglycan-expressing cell	Mesoderm
UBE2C	0.085361365064098	0.145311360218758	2.20888298990775	0.0832965083359174	0.126782396713516	0.112765405660318	0.10701735956033	0.273861736036345	0.188230642713494	0.118148970981145	0.16305789484725	0.0945433929275273	0.091546143350681
TTR	2.06934044790478	2.90374852235899	2.5451679810233	5.74872205223245	2.39909442335084	2.15888892160543	2.68909803436357	2.41800052877889	2.87594609726503	2.14583552074832	6.81891594956361	3.20197584665423	2.70777996358408
GNRH1	-0.010271121498073	0.0194751478790086	0.0338730251832768	0.00821381309342802	0.0236561518413678	0.0174493416080026	0.0157118103073671	-0.000506236032315662	0.00381755294710446	-0.00684658578789965	0.00428058868655706	0.00267839693970114	-0.0015176357391437
TNNC2	0.0704604786748937	0.0632783745551167	0.0591062210732609	0.043156972798212	0.0889154146731866	0.0550124736217289	0.0748018286460732	0.116993901206891	0.0992674588488429	0.0571921842228337	0.0695702474962335	0.321695211507371	0.13096690765983
TOP2A	0.0775737037363838	0.168419431277714	1.74544046836188	0.0823106531665372	0.0852189812901402	0.123283225809348	0.0999191782051731	0.221913589386492	0.193492363489999	0.122131994769151	0.173598722051851	0.190883388599691	0.134940275138786
CENPF	0.152664932068943	0.174641450256427	1.72917510930877	0.148070629021833	0.119257492798314	0.188110119239434	0.134147800804449	0.353511961033499	0.26554290338015	0.238518642871603	0.293977000892927	0.242748044592954	0.126449732739884
CRABP1	0.606633110161652	0.161281047584524	0.259618337606794	0.210414979360246	0.445455410843972	0.558630914871353	0.199362256422661	0.481719386579573	0.447438366784396	1.11025692497148	0.0568345151041177	0.579398277001258	0.293563282040792
MGP	0.0686359400902472	0.0837588350233306	0.10399859988379	0.0987295553089025	0.0841182980148452	0.0404739620920159	0.0962224194652178	0.222757947370289	0.151167651713108	0.141400419319388	0.0684391214101857	0.885461647995864	0.306585540084966
KPNA2	0.734559049266357	0.536642095040828	1.97705861757385	0.332092657325336	0.679575557732743	0.753885078787289	0.589543111168698	0.719136134031393	0.593600565587273	0.900530127297309	0.339753483226297	0.549333182879333	0.618389779185916
DLK1	1.1764449577609	3.32184588143068	2.22166503024381	2.90479646328267	2.06933323586703	1.39608755022637	3.65184466407502	3.00548303892609	2.29235985215308	2.04047797680245	2.65472190449307	2.84043447378252	2.21003569762453
