CN3	AS2	NEC2	BRC	UPRC1	NEC3	NEC1	IN	GPC	NEC4	AS3	OPC/OL	Inter	Neuron	AS1	CBC	CN1	CN2	PGC2	CN5	ME	CN4	PGC1	UPRC2
UBE2C	0.0844299745314498	0.16121924833445	1.9321341644239	0.0832965083359174	0.127951220566982	1.29225502486373	3.30948776061004	0.112765405660318	0.10701735956033	0.813403186132453	0.15937750473651	0.273861736036345	0.188230642713494	0.118148970981145	0.094570223936738	0.16305789484725	0.072272219664509	0.0681206245122853	0.123785875351052	0.143517534902578	0.091546143350681	0.0941528598996368	0.0775598838566986	0.0899398981338569
TTR	2.05129614371775	3.2856258054668	2.39613569277362	5.74872205223245	2.38325883792605	2.78471013689032	2.49016520126392	2.15888892160543	2.68909803436357	2.6245172070374	2.52002724684394	2.41800052877889	2.87594609726503	2.14583552074832	2.20552993934263	6.81891594956361	2.07411761677779	1.9872816322148	3.3847658457561	2.26764804824104	2.70777996358408	2.13995744654775	3.08114192135057	2.79513284387757
GNRH1	-0.0233850257401601	0.0199824679673415	0.0382455826602841	0.00821381309342802	0.0243577109994144	0.00288780939384678	0.0636068969674121	0.0174493416080026	0.0157118103073671	0.0209552002936907	0.0216365347945413	-0.000506236032315662	0.00381755294710446	-0.00684658578789965	0.0157100138891808	0.00428058868655706	-0.0231817604502087	0.000173189600851828	-0.00953657281729556	0.00159160823866393	-0.0015176357391437	0.0133726696127378	0.0095445884178074	0.0017107360658031
TNNC2	0.0752333675777926	0.0521713108336806	0.0584865513644203	0.043156972798212	0.0870646049728599	0.0585465574419867	0.047623570529145	0.0550124736217289	0.0748018286460732	0.0661911287308046	0.0711342251970582	0.116993901206891	0.0992674588488429	0.0571921842228337	0.0747429846074601	0.0695702474962335	0.0154814509148393	0.0705244150406508	0.335745154296394	0.0971530685731323	0.13096690765983	0.0799087780526941	0.313633196701012	0.144531145809658
TOP2A	0.0792126931458376	0.18710298626756	1.68359246332474	0.0823106531665372	0.0842104709347757	1.04414467952138	2.64690014336324	0.123283225809348	0.0999191782051731	0.73684216765551	0.171830048022599	0.221913589386492	0.193492363489999	0.122131994769151	0.12628096933787	0.173598722051851	0.0789130563927502	0.0524651739226585	0.20077315508737	0.115588493570016	0.134940275138786	0.0974241503287002	0.185227145189582	0.115919679361207
CENPF	0.163860597342112	0.179227138490611	1.44449862187574	0.148070629021833	0.120573680713776	1.23345199053991	2.73677054754505	0.188110119239434	0.134147800804449	0.673355513167428	0.210182515516893	0.353511961033499	0.26554290338015	0.238518642871603	0.117826716694849	0.293977000892927	0.136244745361581	0.120381480967809	0.314196531269927	0.158918262516606	0.126449732739884	0.192727212798481	0.199808627008125	0.0776689435667378
CRABP1	0.598634361418134	0.199394091947433	0.282404969043595	0.210414979360246	0.453359771598325	0.261543729227195	0.189611736616232	0.558630914871353	0.199362256422661	0.276332907044134	0.166466910794843	0.481719386579573	0.447438366784396	1.11025692497148	0.0750152776073973	0.0568345151041177	0.570937839138133	0.625639413548565	0.429673819705337	0.622610501794976	0.293563282040792	0.609885530862982	0.655352769484823	0.163827855906787
MGP	0.0778475404927372	0.121648803825899	0.108719402783813	0.0987295553089025	0.0822058558568429	0.0803328635361777	0.0503814729315222	0.0404739620920159	0.0962224194652178	0.13475080312117	0.0601161205119499	0.222757947370289	0.151167651713108	0.141400419319388	0.0369919299216263	0.0684391214101857	0.0748525485015287	0.0454427955581113	0.405658810198415	0.0820065050521396	0.306585540084966	0.0724427073211466	1.08125110091618	0.141532149181729
KPNA2	0.768270463822254	0.507016258455961	1.56004140337795	0.332092657325336	0.685784786635795	1.18236636649418	3.07747650452562	0.753885078787289	0.589543111168698	0.847156621241924	0.587695856397544	0.719136134031393	0.593600565587273	0.900530127297309	0.526762677809513	0.339753483226297	0.682750960012396	0.66199810074375	0.567782111121792	0.826919371324411	0.618389779185916	0.744490738846852	0.538710033974228	0.465584060859558
DLK1	1.03344975596905	3.43338794574401	2.1070898653402	2.90479646328267	2.0654039065705	2.41754328687799	2.12798975360433	1.39608755022637	3.65184466407502	2.30786764543446	2.82569512353943	3.00548303892609	2.29235985215308	2.04047797680245	3.56008167219788	2.65472190449307	0.854264189812696	0.941129671005005	2.85739477423857	2.08566042933225	2.21003569762453	1.25895701085916	2.83068001562162	2.18381577382578
IGFBP7	0.114237473625266	0.718916707434557	0.293443511104609	1.75653901849919	0.212496849387477	0.604438632721773	0.445855103825227	0.142496506087046	0.431270624336843	0.455226275737758	0.426562634303761	0.25214079180387	0.368779719161276	0.11051291458744	0.3501889582225	2.72396843555666	0.102862412026935	0.0893068322757915	0.979403457047382	0.194694544270304	0.380247134335808	0.121868225483713	1.53890219989277	0.413527676327571
APOE	0.316036180669867	1.5997541485419	0.775701090826518	1.76680568482359	0.560716166282647	0.87665477720558	0.703316091863978	0.338585936531232	0.9246653489469	0.935575514510522	0.993934677590606	0.790030319834504	0.76375787982814	0.367014965892333	1.73305392072417	1.23032988366026	0.283858865509169	0.239851660597136	1.44342377964721	0.53491654735727	0.691908210744824	0.406132588320398	2.20898386688408	0.912210223699715
STMN2	3.48367262799878	0.610448641113524	0.871476692052676	0.572862173551248	2.26830186513819	0.690722125527222	0.76736462098824	3.2459201493267	0.809059983926056	0.751007928846335	0.723650511557694	1.18881693160086	2.31523106054505	2.96699681601527	0.540475939701917	0.391078264453319	3.68197683167979	3.75147197380856	0.832295010030505	3.03162024073679	1.77214837857122	3.20740436872185	0.639216550706465	0.817050086009546
TNNT3	0.0236002799953867	0.0263517909431959	0.0222692699595026	0.017438205040537	0.0413678208992806	0.0290971399871254	0.0285464093561866	0.0354234600370353	0.0430554924988592	0.0397402404391721	0.045491503648923	0.077120495574976	0.0823194629244605	0.0279789835215812	0.0292250646779163	0.0352903357304608	0.00462413384182725	0.0265596863588807	0.247960272943799	0.0325037355128005	0.073841831439855	0.039526550737862	0.216983727810393	0.180797116521564
CXCL14	0.20174585632561	0.955744759603671	0.502552859168049	2.45590927519368	0.359532823943116	0.703440077817224	0.583828310289509	0.262996255919284	0.505701700346989	0.668703410639592	0.552148074791705	0.420607537157879	0.537763913491033	0.19572942835692	0.373956916152657	2.606103265677	0.159101630486904	0.170936656798123	0.966122845901854	0.319475290605899	0.465383802218326	0.255072036434622	1.3555701567506	0.797842778743202
PTTG1	0.369593995500417	0.547933073491452	1.97392363672316	0.421712095200095	0.38760818877022	2.30808489225485	3.39755974738433	0.390269509493385	0.466955410194865	0.975157522908425	0.591769779515777	0.8196903856525	0.524346714831921	0.530149159343852	0.50277356277749	0.659972712212333	0.350004380741438	0.402191012579451	0.483960100778143	0.53467190995916	0.460097652396656	0.455245439868441	0.340555565743659	0.421377839636429
PTN	1.84366591434167	3.03890196557494	3.13432336064402	1.58588473190468	1.51052802562869	2.90684673577842	2.90541487208774	1.98644247870429	3.09580210840499	2.86351069856479	3.22155664364034	2.63557608141678	2.32662809320396	2.43449443438004	4.24618964338108	1.01105243112414	1.64481178994657	1.50271234773023	2.40089362047374	2.13206257514445	1.80641344362133	1.87893972951514	2.31529326806935	1.2866861807186
SST	0.145243339968416	0.0307741985530046	0.0231489544875865	0.0231322011145396	0.0697037952195001	0.0214344168599954	0.0383754313683889	0.277661810860921	0.0214622471151813	0.0217427961920574	0.0199321248012781	0.0618884231875074	0.120974232591767	0.0897210537850884	0.0119776467579347	0.0170750511934999	0.130953863619511	0.343953134330194	0.0491604332303605	0.231496089808343	0.106548389336198	0.13652190331238	0.0510843209156248	0.558562786210109
TFPI2	0.0429183773357831	1.1499147804293	0.559372347714793	0.447089295747573	0.113105733748322	0.697234420732516	0.530577110287673	0.095205845501658	0.335959785811751	0.527561137952205	0.436054763326141	0.399705819646217	0.337004375521315	0.0908113866241577	0.514233638952852	0.220177659132951	0.0387225996519207	0.0386442792273564	0.681758880262443	0.130285967166618	0.191769330014794	0.0719140319766611	0.709957370985434	0.185094868699261
CRYAB	0.226752648747942	0.685081256220947	0.335377584588772	0.65750745834126	0.547560832706397	0.336538161200454	0.164841028431543	0.228157834841752	0.637790325155129	0.415092309212191	0.388878213641573	0.422617116182008	0.345615086495786	0.227124294050908	0.489724292252143	0.392176730257139	0.194604716887076	0.116461260365566	0.700922116675614	0.35245599775701	0.62738733332966	0.277913370336455	0.479184713299265	0.730686537478838
SPARCL1	0.125869075762946	1.38961319191224	1.17800114454193	0.693999416999083	0.17484797463283	1.07214620581205	1.15428662004004	0.157909477943807	1.19093480260168	1.08121801684414	1.26515814592788	0.687577038599922	0.694812363472306	0.182462448590414	1.93072874212857	0.401585473595985	0.0999725026934174	0.116537762521702	1.01970463895878	0.390287920739395	0.462919161266231	0.164562327852321	0.996628959747414	0.326598997663616
CCNB1	0.117796984566501	0.184010150692166	0.746138678889721	0.116288599758394	0.14178710421636	1.05792574935777	2.33367024318354	0.105531298652809	0.110859721466536	0.308440268168987	0.113415088690202	0.218352415811382	0.163953900584772	0.104613954400719	0.0967070246574363	0.179491576438319	0.0944305966381395	0.0994315833759257	0.163052078358097	0.160953752597115	0.0924970653920857	0.138925027347603	0.105840949024455	0.056980798727267
CKM	0.0269541091136459	0.0258728383621013	0.0187866664878595	0.00796163909368122	0.0308055089323664	0.0224808127966782	0.017636898702038	0.00883501828530436	0.0269189755890377	0.0260399632432529	0.0287684834506399	0.0388127746134836	0.0384725346600554	0.0212435242115238	0.0344884834473584	-0.00822285900468869	0.00978514462047889	0.0247586140585273	0.126718484844205	0.0382489033871463	0.0916755141549385	0.0282758463606331	0.0995964250239107	0.0706980841119606
GAP43	2.32622812031966	1.30647314397279	1.25291080149401	0.657696136138746	1.45387240003764	1.11574250781675	0.968770625776643	2.11102525870659	1.28777158209502	1.10890223881005	1.24016550190843	1.01968444408001	1.71378869047221	2.01167865931528	1.60192748873629	0.334235590406445	2.43350946048284	2.59122215815688	1.11300711181191	2.25468371548565	1.35751001588225	2.13941337793455	1.00600329636976	0.621717811810498
PCP4	0.359720320590678	0.922123172270292	0.324731121416769	2.15602179660203	0.407335205681953	0.610819504477026	0.452113780028721	0.462531059791294	0.50783761893858	0.503213940326276	0.446803341871414	0.44252204132804	0.58368034305937	0.220838545114647	0.329893974221728	2.26608647928564	0.333610607142335	0.419250240635275	0.926008549001298	0.488598037455691	0.532402825761938	0.406819788774848	0.774791457579972	0.510553536636898
CDC20	0.0381662158983841	0.100082860770114	0.856140495049664	0.0380268765966712	0.071386499635342	0.964123730048036	2.33141215462902	0.0386273878989534	0.0565361719273613	0.284357279162976	0.0643356915473329	0.118544250437079	0.0888238914648486	0.0447145652389975	0.0349221724858003	0.146230379934571	0.05640530588926	0.038613618477896	0.0551696469825537	0.0705162470233968	0.0315168174891928	0.0408687630202575	0.0440170284362565	0.0881085704475069
LGALS1	0.253341829085967	0.86925564341427	0.574776440785011	0.892706427799118	0.342425252270509	1.29624264258419	1.46815819393135	0.29084740975214	0.455441516881491	0.554647334624088	0.587544202940545	0.404211980877153	0.465941258713555	0.193830012379059	0.78378781329191	0.546756315100109	0.232329004678113	0.196216694305165	1.00695787558266	0.342866612467488	0.479303256678471	0.271648877603906	1.95442445695642	0.3658971692383
HMGB2	0.526185102030184	0.680111517794099	2.38090934616812	0.532057843566354	1.12580900499123	1.54644429907837	3.28028115920311	0.609845809747965	0.84291931763535	1.40175691226615	0.716264484513517	0.738669207540038	0.707193787813402	0.616817930665634	0.666949456002529	0.585161906481056	0.485179352562282	0.47434712946595	0.795242356217096	0.725272002862198	0.88913587243343	0.736618653093945	0.801909473627864	0.955125212960806
MKI67	0.0337627064529488	0.127720948505759	0.929544846119839	0.0621018003004442	0.0453520045128652	0.742407636666694	1.56080823804674	0.0440676222665677	0.0591446099348442	0.375950318038899	0.0827495039391698	0.16469415294957	0.134837239766897	0.0692343215462285	0.0431221349479766	0.023963011666229	0.0519339889148912	0.0365162747234451	0.130472573642547	0.0580979405099563	0.0591616395529193	0.0509487970088865	0.0870526626041708	0.122730167651032
PMCH	0.0206945962526716	0.213522181829838	0.100876082517801	0.967218997050144	0.0854683249037319	0.11392650639748	0.0993664012758658	0.0269486112591482	0.192248249523193	0.109191916814248	0.0758345837174999	0.0460658064804656	0.0932765230052201	0.0153381812320724	0.0497089664960713	0.284718969867279	0.0194046501481748	0.0235660666159633	0.251935611378117	0.0652868458029311	0.123685748221744	0.0348995656005881	0.227870903388307	0.221381607144842
COL1A1	0.0569150819944146	0.149063290318801	0.100459210475309	0.138791313420971	0.0833289070147201	0.114219209080062	0.104262092365798	0.0482660573615901	0.112836774918219	0.154803084376856	0.108471529549345	0.111349553864555	0.185893405933031	0.0512407439528487	0.073660039765614	0.0815330943563478	0.0646208616688637	0.0509042837271229	0.588758544292409	0.0696724509577763	0.213904160084189	0.0617421875188913	1.53638662942415	0.152641753394086
TNNT2	0.0169701590865239	0.0136642556489244	0.018562952488778	0.0162548382478932	0.0224279340090763	0.0104923372295322	0.0257961589179396	0.0150802191726293	0.0167457794931781	0.0391252343872481	0.0272126646169381	0.0741776787083181	0.0693015679449787	0.0152147541589288	0.0112042853757902	0.013091262199217	0.00382698313518514	0.0198704672971249	0.221035762295051	0.0269857397291933	0.20290489818359	0.0141733937002682	0.150021862431776	0.081955281077948
