Astrocyte	Endothelial	Glycolytic RG	Hindbrain RG	Layer VI Occipital	Low quality	Microglia	Mixed	Newborn Low-Quality	oRG	Outlier	Pan-neuronal	Pan-radial glia	SST-MGE1	Unknown	Upper Layer	V1 Neurons
FO538757.2	268.704264927251	639.255827820478	343.738151876643	360.884103685984	479.679968680611	254.764445739195	105.086516075172	341.822435215315	392.384499211264	309.788526334416	215.243243243243	Inf	Inf	377.165594183941	387.761706527822	546.540115131678	146.006412636926
AP006222.2	184.7925003244	397.582512284003	361.290720574373	385.370519387964	199.425979318909	190.141638199172	58.1208298028055	237.916002466777	240.320545722892	283.386565550102	30.7886597938144	509.248234946233	391.644471615636	213.032986474581	634.68794526656	200.099845723692	161.209732359468
RP11-206L10.9	84.830960763358	315.804886960263	148.359845762886	154.381801433467	238.164405244836	118.151022912005	54.7356591969878	114.44630978176	141.237252429242	306.05043109632	37.3896713615024	511.511871309869	341.136310826533	177.020057799845	212.241842186736	167.11866949249	110.298114539462
RP11-54O7.1	15.1737773793043	95.134219293346	88.9788926173834	43.1602690097446	128.238479371113	90.3053808881072	40.5732107565623	73.4009154112483	27.9915262517592	47.7710252471331	0	111.905810709716	117.106840194368	0	84.8562496350851	61.2752974878693	48.0689459594688
RP11-54O7.3	0	12.1829315530043	7.2032168235623	15.2899987312709	0	48.9749715242636	0	56.4617542169618	1.53006580208917	16.7912152772557	0	33.6597530731666	54.1440547115183	0	0	80.7112620850829	0
SAMD11	203.407968630955	299.669518296668	185.206783773846	275.451706398043	234.65311346525	100.727603103211	18.7700314042591	87.7217619033877	141.237591613905	159.592497721718	0	442.791775616089	360.255586287914	144.964601668808	300.061760640376	266.905706529527	120.778504782998
NOC2L	177.82076978168	485.013730119328	451.943946380824	505.56326476492	271.727243363853	386.093392576895	94.3241728497711	319.879603999344	342.923486899363	444.174491246696	26.3708609271523	585.776041217702	Inf	266.43144513075	648.015298482148	419.044283308554	158.148112626143
KLHL17	47.8891424799163	97.9022999820635	152.274591542115	118.978242537008	128.238480339392	94.210617789986	23.8997350897555	96.0908374649292	151.153879056225	136.17147798836	0	162.015080612418	151.786333330223	52.3821840456927	152.117285623876	91.2446992799982	104.198321665103
RP11-54O7.17	40.3987093720912	100.169953836741	173.982097745588	100.438940903126	89.8218126532399	80.3276031041891	16.5159911556702	70.4596537658589	64.4872113740403	113.408498649737	0	150.823889799854	133.411220807346	0	152.117285624382	79.4123731977978	32.0123983404212
HES4	Inf	Inf	Inf	Inf	Inf	Inf	277.084597916786	Inf	649.053304343582	Inf	41.9157894736842	Inf	Inf	Inf	Inf	581.797179397744	359.830340987093
ISG15	Inf	Inf	Inf	Inf	522.715759308352	278.435010510618	59.6956325913975	Inf	274.743813049625	Inf	0	486.039144037142	Inf	233.144088807597	Inf	280.268025370107	104.198967010754
